in_ptr,in_v1,in_v2,in_v3,in_v4,in_v5,in_v6,in_v7,in_v8,in_v9,in_v10,in_v11,in_v12,in_v13,in_v14,in_v15,in_v16,out_ptr,out_v1,out_v2,out_v3,out_v4,out_v5,out_v6,out_v7,out_v8,out_v9,out_v10,out_v11,out_v12,out_v13,out_v14,out_v15,out_v16
15,98,73,34,24,95,1,2,64,78,93,13,21,57,35,37,0,14,98,73,34,24,95,1,2,64,78,93,13,21,57,35,0,0
10,11,21,86,19,95,50,89,38,50,13,0,0,0,0,0,0,9,11,21,86,19,95,50,89,38,50,0,0,0,0,0,0,0
8,55,4,68,13,18,55,19,85,0,0,0,0,0,0,0,0,7,55,4,68,13,18,55,19,0,0,0,0,0,0,0,0,0
9,82,7,34,99,13,34,16,66,39,0,0,0,0,0,0,0,8,82,7,34,99,13,34,16,66,0,0,0,0,0,0,0,0
7,57,48,57,86,71,35,2,0,0,0,0,0,0,0,0,0,6,57,48,57,86,71,35,0,0,0,0,0,0,0,0,0,0
1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,39,92,62,4,46,8,60,53,72,47,6,93,23,29,15,0,14,39,92,62,4,46,8,60,53,72,47,6,93,23,29,0,0
5,62,59,46,21,70,0,0,0,0,0,0,0,0,0,0,0,4,62,59,46,21,0,0,0,0,0,0,0,0,0,0,0,0
4,3,56,83,54,0,0,0,0,0,0,0,0,0,0,0,0,3,3,56,83,0,0,0,0,0,0,0,0,0,0,0,0,0
7,23,61,95,46,73,37,6,0,0,0,0,0,0,0,0,0,6,23,61,95,46,73,37,0,0,0,0,0,0,0,0,0,0
15,38,4,31,92,27,66,32,53,34,37,63,71,5,53,25,0,14,38,4,31,92,27,66,32,53,34,37,63,71,5,53,0,0
9,14,76,76,78,69,31,12,74,70,0,0,0,0,0,0,0,8,14,76,76,78,69,31,12,74,0,0,0,0,0,0,0,0
14,96,72,1,74,1,24,76,47,25,50,92,69,26,81,0,0,13,96,72,1,74,1,24,76,47,25,50,92,69,26,0,0,0
12,96,96,38,24,2,45,91,50,32,16,40,3,0,0,0,0,11,96,96,38,24,2,45,91,50,32,16,40,0,0,0,0,0
2,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5,46,72,96,91,64,97,82,17,61,25,0,0,0,0,0,10,5,46,72,96,91,64,97,82,17,61,0,0,0,0,0,0
11,28,1,56,64,41,77,23,19,80,12,10,0,0,0,0,0,10,28,1,56,64,41,77,23,19,80,12,0,0,0,0,0,0
12,39,49,77,42,71,24,73,26,97,66,32,60,0,0,0,0,11,39,49,77,42,71,24,73,26,97,66,32,0,0,0,0,0
8,59,15,25,33,32,57,75,29,0,0,0,0,0,0,0,0,7,59,15,25,33,32,57,75,0,0,0,0,0,0,0,0,0
4,93,9,39,97,0,0,0,0,0,0,0,0,0,0,0,0,3,93,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0
1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,44,24,97,91,83,26,70,43,60,58,76,33,16,0,0,0,12,44,24,97,91,83,26,70,43,60,58,76,33,0,0,0,0
5,34,53,10,18,97,0,0,0,0,0,0,0,0,0,0,0,4,34,53,10,18,0,0,0,0,0,0,0,0,0,0,0,0
7,93,28,49,70,7,44,8,0,0,0,0,0,0,0,0,0,6,93,28,49,70,7,44,0,0,0,0,0,0,0,0,0,0
2,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,90,15,5,24,6,0,0,0,0,0,0,0,0,0,0,0,4,90,15,5,24,0,0,0,0,0,0,0,0,0,0,0,0
1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,22,84,64,80,16,0,0,0,0,0,0,0,0,0,0,0,4,22,84,64,80,0,0,0,0,0,0,0,0,0,0,0,0
4,49,58,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,49,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28,68,93,15,66,76,57,69,8,2,0,0,0,0,0,0,9,28,68,93,15,66,76,57,69,8,0,0,0,0,0,0,0
10,98,7,22,40,81,89,48,24,91,64,0,0,0,0,0,0,9,98,7,22,40,81,89,48,24,91,0,0,0,0,0,0,0
3,54,97,93,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,65,7,76,53,41,60,0,0,0,0,0,0,0,0,0,0,5,65,7,76,53,41,0,0,0,0,0,0,0,0,0,0,0
3,47,68,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,63,29,8,89,8,33,29,1,8,47,36,0,0,0,0,0,10,63,29,8,89,8,33,29,1,8,47,0,0,0,0,0,0
13,55,47,62,71,33,56,67,8,41,72,17,68,69,0,0,0,12,55,47,62,71,33,56,67,8,41,72,17,68,0,0,0,0
15,6,77,24,69,75,8,46,58,73,28,2,40,39,19,35,0,14,6,77,24,69,75,8,46,58,73,28,2,40,39,19,0,0
10,30,91,33,44,85,6,72,89,84,27,0,0,0,0,0,0,9,30,91,33,44,85,6,72,89,84,0,0,0,0,0,0,0
9,20,19,66,57,61,33,62,28,13,0,0,0,0,0,0,0,8,20,19,66,57,61,33,62,28,0,0,0,0,0,0,0,0
10,37,83,8,48,40,39,23,95,42,16,0,0,0,0,0,0,9,37,83,8,48,40,39,23,95,42,0,0,0,0,0,0,0
3,91,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,2,91,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28,55,98,65,38,85,74,55,62,97,0,0,0,0,0,0,9,28,55,98,65,38,85,74,55,62,0,0,0,0,0,0,0
4,69,5,51,65,0,0,0,0,0,0,0,0,0,0,0,0,3,69,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14,13,16,47,61,98,16,26,10,36,31,74,19,75,60,0,14,14,13,16,47,61,98,16,26,10,36,31,74,19,75,0,0
14,6,16,67,8,51,3,6,58,82,15,40,5,46,17,0,0,13,6,16,67,8,51,3,6,58,82,15,40,5,46,0,0,0
4,57,45,73,22,0,0,0,0,0,0,0,0,0,0,0,0,3,57,45,73,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,29,99,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,79,82,56,17,75,0,0,0,0,0,0,0,0,0,0,0,4,79,82,56,17,0,0,0,0,0,0,0,0,0,0,0,0
1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,91,50,99,63,61,64,17,80,54,19,31,17,9,91,15,25,15,91,50,99,63,61,64,17,80,54,19,31,17,9,91,15,0
12,75,72,41,41,49,35,33,51,60,58,31,69,0,0,0,0,11,75,72,41,41,49,35,33,51,60,58,31,0,0,0,0,0
9,75,3,37,97,26,84,23,81,43,0,0,0,0,0,0,0,8,75,3,37,97,26,84,23,81,0,0,0,0,0,0,0,0
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,50,48,66,21,88,56,84,0,0,0,0,0,0,0,0,7,2,50,48,66,21,88,56,0,0,0,0,0,0,0,0,0
10,48,45,11,12,79,50,18,26,39,6,0,0,0,0,0,0,9,48,45,11,12,79,50,18,26,39,0,0,0,0,0,0,0
16,81,67,69,77,19,17,96,53,28,8,56,99,92,2,56,49,15,81,67,69,77,19,17,96,53,28,8,56,99,92,2,56,0
6,1,84,8,48,3,2,0,0,0,0,0,0,0,0,0,0,5,1,84,8,48,3,0,0,0,0,0,0,0,0,0,0,0
3,31,48,79,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,64,58,51,31,36,15,10,6,99,81,58,88,45,0,0,0,12,64,58,51,31,36,15,10,6,99,81,58,88,0,0,0,0
8,66,64,35,67,62,88,45,81,0,0,0,0,0,0,0,0,7,66,64,35,67,62,88,45,0,0,0,0,0,0,0,0,0
4,46,97,68,25,0,0,0,0,0,0,0,0,0,0,0,0,3,46,97,68,0,0,0,0,0,0,0,0,0,0,0,0,0
10,47,89,74,25,64,50,58,6,26,24,0,0,0,0,0,0,9,47,89,74,25,64,50,58,6,26,0,0,0,0,0,0,0
16,100,58,8,40,27,5,46,4,100,29,56,72,32,99,84,73,15,100,58,8,40,27,5,46,4,100,29,56,72,32,99,84,0
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,46,69,44,1,0,0,0,0,0,0,0,0,0,0,0,0,3,46,69,44,0,0,0,0,0,0,0,0,0,0,0,0,0
11,51,66,69,48,84,38,33,61,54,100,34,0,0,0,0,0,10,51,66,69,48,84,38,33,61,54,100,0,0,0,0,0,0
12,93,96,84,43,41,43,49,43,52,14,37,69,0,0,0,0,11,93,96,84,43,41,43,49,43,52,14,37,0,0,0,0,0
16,17,94,6,32,14,77,53,28,17,93,74,71,36,63,4,86,15,17,94,6,32,14,77,53,28,17,93,74,71,36,63,4,0
2,88,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,71,92,50,72,97,51,40,93,0,0,0,0,0,0,0,0,7,71,92,50,72,97,51,40,0,0,0,0,0,0,0,0,0
6,69,32,76,21,66,7,0,0,0,0,0,0,0,0,0,0,5,69,32,76,21,66,0,0,0,0,0,0,0,0,0,0,0
13,78,17,72,73,42,16,22,30,17,82,18,10,71,0,0,0,12,78,17,72,73,42,16,22,30,17,82,18,10,0,0,0,0
7,53,52,53,21,66,92,46,0,0,0,0,0,0,0,0,0,6,53,52,53,21,66,92,0,0,0,0,0,0,0,0,0,0
11,9,42,29,44,83,63,53,72,46,67,7,0,0,0,0,0,10,9,42,29,44,83,63,53,72,46,67,0,0,0,0,0,0
9,18,23,45,29,30,78,40,85,36,0,0,0,0,0,0,0,8,18,23,45,29,30,78,40,85,0,0,0,0,0,0,0,0
6,73,52,11,100,38,47,0,0,0,0,0,0,0,0,0,0,5,73,52,11,100,38,0,0,0,0,0,0,0,0,0,0,0
9,47,100,26,20,27,68,25,8,68,0,0,0,0,0,0,0,8,47,100,26,20,27,68,25,8,0,0,0,0,0,0,0,0
16,91,92,43,45,56,82,64,34,44,36,94,97,97,41,22,58,15,91,92,43,45,56,82,64,34,44,36,94,97,97,41,22,0
1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,66,88,36,28,73,63,3,89,44,29,79,40,63,0,0,0,12,66,88,36,28,73,63,3,89,44,29,79,40,0,0,0,0
7,43,8,21,42,88,77,25,0,0,0,0,0,0,0,0,0,6,43,8,21,42,88,77,0,0,0,0,0,0,0,0,0,0
1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45,70,22,61,22,25,87,0,0,0,0,0,0,0,0,0,6,45,70,22,61,22,25,0,0,0,0,0,0,0,0,0,0
11,10,54,73,98,74,5,44,55,80,28,39,0,0,0,0,0,10,10,54,73,98,74,5,44,55,80,28,0,0,0,0,0,0
16,22,20,29,2,54,33,38,6,57,5,46,67,27,60,67,37,15,22,20,29,2,54,33,38,6,57,5,46,67,27,60,67,0
15,58,33,34,97,45,75,71,38,71,2,26,93,97,5,54,0,14,58,33,34,97,45,75,71,38,71,2,26,93,97,5,0,0
1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,24,91,94,83,67,0,0,0,0,0,0,0,0,0,0,5,26,24,91,94,83,0,0,0,0,0,0,0,0,0,0,0
7,94,85,67,50,15,38,17,0,0,0,0,0,0,0,0,0,6,94,85,67,50,15,38,0,0,0,0,0,0,0,0,0,0
6,19,24,23,15,2,49,0,0,0,0,0,0,0,0,0,0,5,19,24,23,15,2,0,0,0,0,0,0,0,0,0,0,0
15,54,8,37,37,29,84,51,69,77,38,67,71,12,20,52,0,14,54,8,37,37,29,84,51,69,77,38,67,71,12,20,0,0
5,47,61,90,97,44,0,0,0,0,0,0,0,0,0,0,0,4,47,61,90,97,0,0,0,0,0,0,0,0,0,0,0,0
8,64,69,18,1,73,1,78,53,0,0,0,0,0,0,0,0,7,64,69,18,1,73,1,78,0,0,0,0,0,0,0,0,0
8,15,88,12,92,74,15,81,90,0,0,0,0,0,0,0,0,7,15,88,12,92,74,15,81,0,0,0,0,0,0,0,0,0
9,30,61,6,100,70,57,21,56,64,0,0,0,0,0,0,0,8,30,61,6,100,70,57,21,56,0,0,0,0,0,0,0,0
9,93,62,80,1,83,76,76,39,94,0,0,0,0,0,0,0,8,93,62,80,1,83,76,76,39,0,0,0,0,0,0,0,0
10,62,36,76,15,19,41,24,68,73,44,0,0,0,0,0,0,9,62,36,76,15,19,41,24,68,73,0,0,0,0,0,0,0
16,11,99,47,6,78,75,36,77,68,9,43,31,97,32,80,11,15,11,99,47,6,78,75,36,77,68,9,43,31,97,32,80,0
6,6,73,79,26,73,80,0,0,0,0,0,0,0,0,0,0,5,6,73,79,26,73,0,0,0,0,0,0,0,0,0,0,0
7,79,97,50,16,5,68,95,0,0,0,0,0,0,0,0,0,6,79,97,50,16,5,68,0,0,0,0,0,0,0,0,0,0
9,18,14,50,19,93,75,90,38,93,0,0,0,0,0,0,0,8,18,14,50,19,93,75,90,38,0,0,0,0,0,0,0,0
13,67,71,38,49,74,80,65,35,87,2,53,13,13,0,0,0,12,67,71,38,49,74,80,65,35,87,2,53,13,0,0,0,0
16,22,56,21,17,47,87,53,15,45,2,48,46,30,40,50,42,15,22,56,21,17,47,87,53,15,45,2,48,46,30,40,50,0
2,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28,69,9,83,37,13,76,30,74,50,10,71,0,0,0,0,11,28,69,9,83,37,13,76,30,74,50,10,0,0,0,0,0
4,46,73,68,80,0,0,0,0,0,0,0,0,0,0,0,0,3,46,73,68,0,0,0,0,0,0,0,0,0,0,0,0,0
10,85,15,12,34,28,8,53,47,45,42,0,0,0,0,0,0,9,85,15,12,34,28,8,53,47,45,0,0,0,0,0,0,0
12,14,15,64,33,72,42,62,72,96,58,42,60,0,0,0,0,11,14,15,64,33,72,42,62,72,96,58,42,0,0,0,0,0
8,37,58,78,71,11,20,20,57,0,0,0,0,0,0,0,0,7,37,58,78,71,11,20,20,0,0,0,0,0,0,0,0,0
9,98,25,100,11,79,19,59,31,7,0,0,0,0,0,0,0,8,98,25,100,11,79,19,59,31,0,0,0,0,0,0,0,0
13,73,71,83,2,27,79,29,62,6,31,55,54,99,0,0,0,12,73,71,83,2,27,79,29,62,6,31,55,54,0,0,0,0
15,58,80,49,18,42,90,95,47,81,49,55,79,99,27,23,0,14,58,80,49,18,42,90,95,47,81,49,55,79,99,27,0,0
8,17,72,30,97,90,54,95,38,0,0,0,0,0,0,0,0,7,17,72,30,97,90,54,95,0,0,0,0,0,0,0,0,0
3,72,67,71,0,0,0,0,0,0,0,0,0,0,0,0,0,2,72,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,93,26,43,37,0,0,0,0,0,0,0,0,0,0,0,0,3,93,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0
14,66,15,53,42,99,56,81,37,45,87,6,3,87,82,0,0,13,66,15,53,42,99,56,81,37,45,87,6,3,87,0,0,0
14,22,6,36,85,23,6,92,31,82,100,4,57,21,10,0,0,13,22,6,36,85,23,6,92,31,82,100,4,57,21,0,0,0
11,16,59,3,82,64,72,91,6,60,44,94,0,0,0,0,0,10,16,59,3,82,64,72,91,6,60,44,0,0,0,0,0,0
7,25,50,65,13,21,10,97,0,0,0,0,0,0,0,0,0,6,25,50,65,13,21,10,0,0,0,0,0,0,0,0,0,0
4,21,15,17,100,0,0,0,0,0,0,0,0,0,0,0,0,3,21,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0
3,47,52,94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,64,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,88,74,10,44,56,23,0,0,0,0,0,0,0,0,0,0,5,88,74,10,44,56,0,0,0,0,0,0,0,0,0,0,0
3,17,60,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,71,47,23,6,77,26,32,72,41,29,38,11,31,21,11,0,14,71,47,23,6,77,26,32,72,41,29,38,11,31,21,0,0
11,53,33,20,69,29,28,43,70,1,65,51,0,0,0,0,0,10,53,33,20,69,29,28,43,70,1,65,0,0,0,0,0,0
10,54,25,64,84,87,99,99,6,37,53,0,0,0,0,0,0,9,54,25,64,84,87,99,99,6,37,0,0,0,0,0,0,0
9,55,85,28,56,17,54,34,96,98,0,0,0,0,0,0,0,8,55,85,28,56,17,54,34,96,0,0,0,0,0,0,0,0
15,55,72,24,88,60,11,99,45,46,88,22,24,92,66,29,0,14,55,72,24,88,60,11,99,45,46,88,22,24,92,66,0,0
8,88,24,13,14,35,92,85,78,0,0,0,0,0,0,0,0,7,88,24,13,14,35,92,85,0,0,0,0,0,0,0,0,0
7,33,36,93,67,51,75,69,0,0,0,0,0,0,0,0,0,6,33,36,93,67,51,75,0,0,0,0,0,0,0,0,0,0
12,61,56,57,8,37,91,52,24,22,94,11,84,0,0,0,0,11,61,56,57,8,37,91,52,24,22,94,11,0,0,0,0,0
1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,79,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,3,12,90,72,81,2,66,34,55,8,29,83,18,0,0,13,2,3,12,90,72,81,2,66,34,55,8,29,83,0,0,0
16,97,33,65,74,31,49,59,54,44,80,5,12,26,22,44,94,15,97,33,65,74,31,49,59,54,44,80,5,12,26,22,44,0
1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,75,3,18,88,81,9,87,0,0,0,0,0,0,0,0,0,6,75,3,18,88,81,9,0,0,0,0,0,0,0,0,0,0
5,18,35,5,75,54,0,0,0,0,0,0,0,0,0,0,0,4,18,35,5,75,0,0,0,0,0,0,0,0,0,0,0,0
2,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,38,90,11,47,84,30,0,0,0,0,0,0,0,0,0,0,5,38,90,11,47,84,0,0,0,0,0,0,0,0,0,0,0
6,16,26,77,46,82,76,0,0,0,0,0,0,0,0,0,0,5,16,26,77,46,82,0,0,0,0,0,0,0,0,0,0,0
4,2,56,52,86,0,0,0,0,0,0,0,0,0,0,0,0,3,2,56,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,64,26,94,55,6,76,18,51,32,91,0,0,0,0,0,0,9,64,26,94,55,6,76,18,51,32,0,0,0,0,0,0,0
2,85,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,61,14,90,4,81,5,40,95,77,67,97,0,0,0,0,0,10,61,14,90,4,81,5,40,95,77,67,0,0,0,0,0,0
3,41,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,38,6,28,68,71,14,93,73,39,27,54,40,25,0,0,0,12,38,6,28,68,71,14,93,73,39,27,54,40,0,0,0,0
5,64,85,48,66,87,0,0,0,0,0,0,0,0,0,0,0,4,64,85,48,66,0,0,0,0,0,0,0,0,0,0,0,0
10,8,26,7,17,5,90,74,46,35,95,0,0,0,0,0,0,9,8,26,7,17,5,90,74,46,35,0,0,0,0,0,0,0
6,1,23,20,11,73,98,0,0,0,0,0,0,0,0,0,0,5,1,23,20,11,73,0,0,0,0,0,0,0,0,0,0,0
5,54,6,44,100,100,0,0,0,0,0,0,0,0,0,0,0,4,54,6,44,100,0,0,0,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,33,67,8,36,54,4,36,30,55,21,68,7,2,53,6,0,14,33,67,8,36,54,4,36,30,55,21,68,7,2,53,0,0
5,26,75,92,67,90,0,0,0,0,0,0,0,0,0,0,0,4,26,75,92,67,0,0,0,0,0,0,0,0,0,0,0,0
16,83,63,56,94,25,38,35,64,43,86,57,78,5,25,2,19,15,83,63,56,94,25,38,35,64,43,86,57,78,5,25,2,0
9,29,38,70,12,55,33,91,21,73,0,0,0,0,0,0,0,8,29,38,70,12,55,33,91,21,0,0,0,0,0,0,0,0
2,24,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,44,22,10,36,1,46,67,26,86,39,88,24,4,0,0,0,12,44,22,10,36,1,46,67,26,86,39,88,24,0,0,0,0
9,72,39,87,92,62,86,25,50,83,0,0,0,0,0,0,0,8,72,39,87,92,62,86,25,50,0,0,0,0,0,0,0,0
14,54,43,9,43,93,7,58,48,2,65,86,26,39,78,0,0,13,54,43,9,43,93,7,58,48,2,65,86,26,39,0,0,0
8,98,26,61,88,43,98,62,91,0,0,0,0,0,0,0,0,7,98,26,61,88,43,98,62,0,0,0,0,0,0,0,0,0
15,90,47,44,41,83,79,4,37,77,69,17,73,70,18,27,0,14,90,47,44,41,83,79,4,37,77,69,17,73,70,18,0,0
9,39,71,84,48,80,58,38,91,94,0,0,0,0,0,0,0,8,39,71,84,48,80,58,38,91,0,0,0,0,0,0,0,0
12,46,72,87,51,84,53,42,54,26,23,98,30,0,0,0,0,11,46,72,87,51,84,53,42,54,26,23,98,0,0,0,0,0
15,78,43,54,54,74,76,7,100,74,15,37,31,55,38,81,0,14,78,43,54,54,74,76,7,100,74,15,37,31,55,38,0,0
12,34,22,79,47,87,31,49,78,25,16,87,44,0,0,0,0,11,34,22,79,47,87,31,49,78,25,16,87,0,0,0,0,0
6,61,59,89,42,31,25,0,0,0,0,0,0,0,0,0,0,5,61,59,89,42,31,0,0,0,0,0,0,0,0,0,0,0
12,35,35,75,8,84,51,58,88,94,98,100,82,0,0,0,0,11,35,35,75,8,84,51,58,88,94,98,100,0,0,0,0,0
11,63,23,63,31,94,76,17,64,51,41,58,0,0,0,0,0,10,63,23,63,31,94,76,17,64,51,41,0,0,0,0,0,0
10,59,1,25,2,41,14,63,79,50,41,0,0,0,0,0,0,9,59,1,25,2,41,14,63,79,50,0,0,0,0,0,0,0
1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,94,16,35,20,17,0,0,0,0,0,0,0,0,0,0,0,4,94,16,35,20,0,0,0,0,0,0,0,0,0,0,0,0
9,38,25,53,3,52,61,100,63,85,0,0,0,0,0,0,0,8,38,25,53,3,52,61,100,63,0,0,0,0,0,0,0,0
12,44,62,14,46,8,74,89,94,23,99,55,10,0,0,0,0,11,44,62,14,46,8,74,89,94,23,99,55,0,0,0,0,0
9,1,58,43,30,68,66,94,47,66,0,0,0,0,0,0,0,8,1,58,43,30,68,66,94,47,0,0,0,0,0,0,0,0
2,82,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,88,83,46,21,74,87,92,8,28,86,70,21,15,22,39,33,15,88,83,46,21,74,87,92,8,28,86,70,21,15,22,39,0
5,43,45,63,9,89,0,0,0,0,0,0,0,0,0,0,0,4,43,45,63,9,0,0,0,0,0,0,0,0,0,0,0,0
2,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,17,20,39,54,56,11,41,90,0,0,0,0,0,0,0,0,7,17,20,39,54,56,11,41,0,0,0,0,0,0,0,0,0
9,16,36,88,87,23,80,92,50,31,0,0,0,0,0,0,0,8,16,36,88,87,23,80,92,50,0,0,0,0,0,0,0,0
11,26,9,15,2,88,40,72,35,49,56,14,0,0,0,0,0,10,26,9,15,2,88,40,72,35,49,56,0,0,0,0,0,0
